month,expectancy
1/1/60,69.77073171
2/1/60,69.77073171
3/1/60,69.77073171
4/1/60,69.77073171
5/1/60,69.77073171
6/1/60,69.77073171
7/1/60,69.77073171
8/1/60,69.77073171
9/1/60,69.77073171
10/1/60,69.77073171
11/1/60,69.77073171
12/1/60,69.77073171
1/1/61,70.27073171
2/1/61,70.27073171
3/1/61,70.27073171
4/1/61,70.27073171
5/1/61,70.27073171
6/1/61,70.27073171
7/1/61,70.27073171
8/1/61,70.27073171
9/1/61,70.27073171
10/1/61,70.27073171
11/1/61,70.27073171
12/1/61,70.27073171
1/1/62,70.1195122
2/1/62,70.1195122
3/1/62,70.1195122
4/1/62,70.1195122
5/1/62,70.1195122
6/1/62,70.1195122
7/1/62,70.1195122
8/1/62,70.1195122
9/1/62,70.1195122
10/1/62,70.1195122
11/1/62,70.1195122
12/1/62,70.1195122
1/1/63,69.91707317
2/1/63,69.91707317
3/1/63,69.91707317
4/1/63,69.91707317
5/1/63,69.91707317
6/1/63,69.91707317
7/1/63,69.91707317
8/1/63,69.91707317
9/1/63,69.91707317
10/1/63,69.91707317
11/1/63,69.91707317
12/1/63,69.91707317
1/1/64,70.16585366
2/1/64,70.16585366
3/1/64,70.16585366
4/1/64,70.16585366
5/1/64,70.16585366
6/1/64,70.16585366
7/1/64,70.16585366
8/1/64,70.16585366
9/1/64,70.16585366
10/1/64,70.16585366
11/1/64,70.16585366
12/1/64,70.16585366
1/1/65,70.21463415
2/1/65,70.21463415
3/1/65,70.21463415
4/1/65,70.21463415
5/1/65,70.21463415
6/1/65,70.21463415
7/1/65,70.21463415
8/1/65,70.21463415
9/1/65,70.21463415
10/1/65,70.21463415
11/1/65,70.21463415
12/1/65,70.21463415
1/1/66,70.21219512
2/1/66,70.21219512
3/1/66,70.21219512
4/1/66,70.21219512
5/1/66,70.21219512
6/1/66,70.21219512
7/1/66,70.21219512
8/1/66,70.21219512
9/1/66,70.21219512
10/1/66,70.21219512
11/1/66,70.21219512
12/1/66,70.21219512
1/1/67,70.56097561
2/1/67,70.56097561
3/1/67,70.56097561
4/1/67,70.56097561
5/1/67,70.56097561
6/1/67,70.56097561
7/1/67,70.56097561
8/1/67,70.56097561
9/1/67,70.56097561
10/1/67,70.56097561
11/1/67,70.56097561
12/1/67,70.56097561
1/1/68,69.95121951
2/1/68,69.95121951
3/1/68,69.95121951
4/1/68,69.95121951
5/1/68,69.95121951
6/1/68,69.95121951
7/1/68,69.95121951
8/1/68,69.95121951
9/1/68,69.95121951
10/1/68,69.95121951
11/1/68,69.95121951
12/1/68,69.95121951
1/1/69,70.50731707
2/1/69,70.50731707
3/1/69,70.50731707
4/1/69,70.50731707
5/1/69,70.50731707
6/1/69,70.50731707
7/1/69,70.50731707
8/1/69,70.50731707
9/1/69,70.50731707
10/1/69,70.50731707
11/1/69,70.50731707
12/1/69,70.50731707
1/1/70,70.80731707
2/1/70,70.80731707
3/1/70,70.80731707
4/1/70,70.80731707
5/1/70,70.80731707
6/1/70,70.80731707
7/1/70,70.80731707
8/1/70,70.80731707
9/1/70,70.80731707
10/1/70,70.80731707
11/1/70,70.80731707
12/1/70,70.80731707
1/1/71,71.10731707
2/1/71,71.10731707
3/1/71,71.10731707
4/1/71,71.10731707
5/1/71,71.10731707
6/1/71,71.10731707
7/1/71,71.10731707
8/1/71,71.10731707
9/1/71,71.10731707
10/1/71,71.10731707
11/1/71,71.10731707
12/1/71,71.10731707
1/1/72,71.15609756
2/1/72,71.15609756
3/1/72,71.15609756
4/1/72,71.15609756
5/1/72,71.15609756
6/1/72,71.15609756
7/1/72,71.15609756
8/1/72,71.15609756
9/1/72,71.15609756
10/1/72,71.15609756
11/1/72,71.15609756
12/1/72,71.15609756
1/1/73,71.35609756
2/1/73,71.35609756
3/1/73,71.35609756
4/1/73,71.35609756
5/1/73,71.35609756
6/1/73,71.35609756
7/1/73,71.35609756
8/1/73,71.35609756
9/1/73,71.35609756
10/1/73,71.35609756
11/1/73,71.35609756
12/1/73,71.35609756
1/1/74,71.95609756
2/1/74,71.95609756
3/1/74,71.95609756
4/1/74,71.95609756
5/1/74,71.95609756
6/1/74,71.95609756
7/1/74,71.95609756
8/1/74,71.95609756
9/1/74,71.95609756
10/1/74,71.95609756
11/1/74,71.95609756
12/1/74,71.95609756
1/1/75,72.60487805
2/1/75,72.60487805
3/1/75,72.60487805
4/1/75,72.60487805
5/1/75,72.60487805
6/1/75,72.60487805
7/1/75,72.60487805
8/1/75,72.60487805
9/1/75,72.60487805
10/1/75,72.60487805
11/1/75,72.60487805
12/1/75,72.60487805
1/1/76,72.85609756
2/1/76,72.85609756
3/1/76,72.85609756
4/1/76,72.85609756
5/1/76,72.85609756
6/1/76,72.85609756
7/1/76,72.85609756
8/1/76,72.85609756
9/1/76,72.85609756
10/1/76,72.85609756
11/1/76,72.85609756
12/1/76,72.85609756
1/1/77,73.25609756
2/1/77,73.25609756
3/1/77,73.25609756
4/1/77,73.25609756
5/1/77,73.25609756
6/1/77,73.25609756
7/1/77,73.25609756
8/1/77,73.25609756
9/1/77,73.25609756
10/1/77,73.25609756
11/1/77,73.25609756
12/1/77,73.25609756
1/1/78,73.35609756
2/1/78,73.35609756
3/1/78,73.35609756
4/1/78,73.35609756
5/1/78,73.35609756
6/1/78,73.35609756
7/1/78,73.35609756
8/1/78,73.35609756
9/1/78,73.35609756
10/1/78,73.35609756
11/1/78,73.35609756
12/1/78,73.35609756
1/1/79,73.80487805
2/1/79,73.80487805
3/1/79,73.80487805
4/1/79,73.80487805
5/1/79,73.80487805
6/1/79,73.80487805
7/1/79,73.80487805
8/1/79,73.80487805
9/1/79,73.80487805
10/1/79,73.80487805
11/1/79,73.80487805
12/1/79,73.80487805
1/1/80,73.6097561
2/1/80,73.6097561
3/1/80,73.6097561
4/1/80,73.6097561
5/1/80,73.6097561
6/1/80,73.6097561
7/1/80,73.6097561
8/1/80,73.6097561
9/1/80,73.6097561
10/1/80,73.6097561
11/1/80,73.6097561
12/1/80,73.6097561
1/1/81,74.0097561
2/1/81,74.0097561
3/1/81,74.0097561
4/1/81,74.0097561
5/1/81,74.0097561
6/1/81,74.0097561
7/1/81,74.0097561
8/1/81,74.0097561
9/1/81,74.0097561
10/1/81,74.0097561
11/1/81,74.0097561
12/1/81,74.0097561
1/1/82,74.36097561
2/1/82,74.36097561
3/1/82,74.36097561
4/1/82,74.36097561
5/1/82,74.36097561
6/1/82,74.36097561
7/1/82,74.36097561
8/1/82,74.36097561
9/1/82,74.36097561
10/1/82,74.36097561
11/1/82,74.36097561
12/1/82,74.36097561
1/1/83,74.46341463
2/1/83,74.46341463
3/1/83,74.46341463
4/1/83,74.46341463
5/1/83,74.46341463
6/1/83,74.46341463
7/1/83,74.46341463
8/1/83,74.46341463
9/1/83,74.46341463
10/1/83,74.46341463
11/1/83,74.46341463
12/1/83,74.46341463
1/1/84,74.56341463
2/1/84,74.56341463
3/1/84,74.56341463
4/1/84,74.56341463
5/1/84,74.56341463
6/1/84,74.56341463
7/1/84,74.56341463
8/1/84,74.56341463
9/1/84,74.56341463
10/1/84,74.56341463
11/1/84,74.56341463
12/1/84,74.56341463
1/1/85,74.56341463
2/1/85,74.56341463
3/1/85,74.56341463
4/1/85,74.56341463
5/1/85,74.56341463
6/1/85,74.56341463
7/1/85,74.56341463
8/1/85,74.56341463
9/1/85,74.56341463
10/1/85,74.56341463
11/1/85,74.56341463
12/1/85,74.56341463
1/1/86,74.61463415
2/1/86,74.61463415
3/1/86,74.61463415
4/1/86,74.61463415
5/1/86,74.61463415
6/1/86,74.61463415
7/1/86,74.61463415
8/1/86,74.61463415
9/1/86,74.61463415
10/1/86,74.61463415
11/1/86,74.61463415
12/1/86,74.61463415
1/1/87,74.76585366
2/1/87,74.76585366
3/1/87,74.76585366
4/1/87,74.76585366
5/1/87,74.76585366
6/1/87,74.76585366
7/1/87,74.76585366
8/1/87,74.76585366
9/1/87,74.76585366
10/1/87,74.76585366
11/1/87,74.76585366
12/1/87,74.76585366
1/1/88,74.76585366
2/1/88,74.76585366
3/1/88,74.76585366
4/1/88,74.76585366
5/1/88,74.76585366
6/1/88,74.76585366
7/1/88,74.76585366
8/1/88,74.76585366
9/1/88,74.76585366
10/1/88,74.76585366
11/1/88,74.76585366
12/1/88,74.76585366
1/1/89,75.01707317
2/1/89,75.01707317
3/1/89,75.01707317
4/1/89,75.01707317
5/1/89,75.01707317
6/1/89,75.01707317
7/1/89,75.01707317
8/1/89,75.01707317
9/1/89,75.01707317
10/1/89,75.01707317
11/1/89,75.01707317
